,NAME,CITY,SALARY,EDUCATION,AGE,MARITAL_STATUS,YEAR
29,Mamdouh El-Khouly,Giza,33572.0,Economics and Political Science,60,Widowed,2019
30,Kamal Nasr,Giza,92922.73140857393,Architecture,43,Divorced,2019
31,Mariam Osman,Aswan,70499.0,Education,57,Married,2019
32,Maher Mansour,Asyut,133798.0,Science,44,Married,2019
33,Salma Saber,Giza,92922.73140857393,Economics and Political Science,38,Divorced,2019
34,Emad Ramadan,Mansoura,8657.0,Applied Sciences,54,Married,2019
35,Soha Soltan,Damietta,84970.0,Tourism Studies,36,Single,2019
36,Ahmed Salem,Cairo,97211.0,Computer Science and Information Technology,48,Single,2019
37,Kamal Mansour,Shubra El Kheima,122542.0,Tourism Studies,45,Single,2019
38,Emad El-Bakry,Port Said,99890.0,Law,49,Single,2019
39,Yasmin Fathy,Port Said,59296.0,Fine Arts,23,Widowed,2019
40,Amir El-Din,Ismailia,139252.0,Psychology,55,Married,2019
41,Wafaa Salah,Qena,92922.73140857393,Psychology,22,Divorced,2019
42,Yasmin Soltan,Port Said,92922.73140857393,Arts,26,Divorced,2019
43,Salma Osman,Luxor,101801.0,Medicine,35,Single,2019
44,Emad Mustafa,Shubra El Kheima,92922.73140857393,Tourism Studies,31,Divorced,2019
45,Asmaa El-Bakry,Qena,137205.0,Tourism Studies,58,Single,2019
46,Rania Saeed,Ismailia,21348.0,Arts,57,Married,2019
47,Laila Fawzy,Minya,16996.0,Applied Sciences,30,Single,2019
48,Ahmed Fawzy,Suez,77092.0,Medicine,53,Married,2019
49,Nour Mahmoudi,Port Said,5287.0,Economics and Political Science,28,Single,2019
50,Reem Abdelaziz,Beni Suef,14971.0,Environmental Agriculture,58,Married,2019
51,Khaled Hassanein,Cairo,92922.73140857393,Architecture,55,Divorced,2019
52,Mohsen Gamal,Alexandria,102358.0,Medicine,22,Single,2019
53,Mohsen Mostafa,Aswan,110296.0,Engineering,30,Widowed,2019
54,Wafaa El-Gabry,Beni Suef,46744.0,Fine Arts,36,Widowed,2019
55,Ashraf Fouad,Mansoura,29679.0,Engineering,30,Single,2019
56,Ahmed Nour,Ismailia,60747.0,Public Relations and Advertising,27,Single,2019
57,Adel Youssef,Shubra El Kheima,92922.73140857393,Pharmacy,32,Divorced,2019
58,Magdy Youssef,Qena,72085.0,Tourism Studies,52,Married,2019
59,Hanan Ali,Aswan,18416.0,Architecture,35,Widowed,2019
60,Hend Saber,Shubra El Kheima,50532.0,Computer Science and Information Technology,58,Widowed,2019
61,Mamdouh Fahmy,Giza,147207.0,Commerce,21,Married,2019
62,Marwa Saeed,Cairo,77645.0,Education,54,Married,2019
63,Mamdouh Fouad,Tanta,76956.0,Tourism Studies,27,Single,2019
64,Mervat Fathy,Aswan,75372.0,Education,25,Single,2019
65,Khaled Emam,Cairo,27224.0,Public Relations and Advertising,26,Widowed,2019
66,Hassan Soltan,Kafr El Sheikh,92922.73140857393,Arts,58,Divorced,2019
75,Rania Osman,Beni Suef,92922.73140857393,Education,45,Divorced,2019
76,Sherif Amin,Luxor,92922.73140857393,Economics and Political Science,44,Divorced,2019
77,Samir El-Bakry,Port Said,147130.0,Public Relations and Advertising,56,Married,2019
78,Youssef Moharram,Asyut,92922.73140857393,Applied Sciences,47,Divorced,2019
79,Magdy Ramadan,Zagazig,39853.0,Applied Sciences,44,Single,2019
80,Tamer El-Bakry,Beni Suef,92593.0,Fine Arts,25,Married,2019
81,Mohamed Emam,Giza,74056.0,Fine Arts,53,Single,2019
82,Reem Mohammed,Kafr El Sheikh,101348.0,Environmental Agriculture,55,Widowed,2019
83,Hassan Mustafa,Giza,142881.0,Nursing,21,Widowed,2019
84,Hassan Osman,Beni Suef,92922.73140857393,Architecture,49,Divorced,2019
85,Omar Fouad,Ismailia,124090.0,Environmental Agriculture,47,Widowed,2019
86,Kamal Mansour,Aswan,108366.0,Engineering,30,Widowed,2019
87,Hassan Ramadan,Giza,93775.0,Law,41,Widowed,2019
88,Hassan El-Sayed,Qena,34670.0,Arts,56,Married,2019
89,Tamer Saad,Mansoura,2316.0,Medicine,22,Widowed,2019
90,Youssef Abdullah,Port Said,110792.0,Environmental Agriculture,58,Married,2019
91,Ahmed Mansour,Alexandria,121190.0,Computer Science and Information Technology,29,Married,2019
92,Nagla Amin,Assiut,131649.0,Commerce,52,Married,2019
93,Fatma Ahmed,Assiut,5948.0,Tourism Studies,31,Married,2019
100,Adel Amin,Tanta,48840.0,Tourism Studies,50,Widowed,2019
101,Hend Ragab,Kafr El Sheikh,15354.0,Economics and Political Science,33,Widowed,2019
102,Tamer Salah,Damietta,145767.0,Pharmacy,25,Widowed,2019
103,Rania Ragab,Port Said,145563.0,Tourism Studies,38,Married,2019
104,Nour Ahmed,Assiut,49954.0,Civil Aviation,21,Single,2019
105,Mohamed Moharram,Mansoura,100500.0,Architecture,46,Widowed,2019
106,Nadia Sami,Zagazig,77475.0,Agriculture,56,Single,2019
107,Youssef Mustafa,Suez,23297.0,Commerce,24,Married,2019
108,Mervat Hassanein,Damietta,92922.73140857393,Science,26,Divorced,2019
109,Soha Youssef,Luxor,92922.73140857393,Commerce,29,Divorced,2019
110,Fatma Fahmy,Ismailia,92922.73140857393,Law,59,Divorced,2019
111,Nour Moharram,Damietta,92922.73140857393,Engineering,56,Divorced,2019
112,Ali Mahmoud,Kafr El Sheikh,92922.73140857393,Civil Aviation,24,Divorced,2019
113,Laila Ezzat,Damietta,92922.73140857393,Agriculture,42,Divorced,2019
114,Kamal Moharram,Assiut,92922.73140857393,Applied Sciences,21,Divorced,2019
115,Wafaa Gamal,Port Said,92535.0,Economics and Political Science,53,Married,2019
116,Hany Zaki,Assiut,58490.0,Civil Aviation,53,Single,2019
117,Sara Mahmoud,Alexandria,85622.0,Public Relations and Advertising,29,Widowed,2019
118,Laila El-Sayed,Suez,73441.0,Environmental Agriculture,34,Married,2019
119,Adel Abdullah,Minya,103399.0,Arts,38,Single,2019
120,Mohamed Adel,Zagazig,92922.73140857393,Public Relations and Advertising,27,Divorced,2019
121,Walid Gamal,Port Said,68112.0,Civil Aviation,48,Married,2019
122,Mervat Nasr,Sohag,104019.0,Law,52,Single,2019
123,Mohsen Khalid,Mansoura,123195.0,Agriculture,50,Single,2019
124,Nadia El-Din,Luxor,126708.0,Economics and Political Science,51,Single,2019
125,Reem Osman,Damietta,3041.0,Applied Sciences,46,Widowed,2019
126,Ali Abdullah,Port Said,92922.73140857393,Arts,59,Divorced,2019
127,Nagla Mustafa,Aswan,39908.0,Medicine,21,Widowed,2019
128,Tamer Mostafa,Qena,143554.0,Computer Science and Information Technology,46,Married,2019
129,Eman El-Khouly,Mansoura,43516.0,Pharmacy,44,Single,2019
130,Yasser Youssef,Ismailia,92922.73140857393,Environmental Agriculture,28,Divorced,2019
131,Emad Gamal,Tanta,2734.0,Architecture,35,Single,2019
132,Adham Sami,Minya,110286.0,Nursing,49,Widowed,2019
133,Ashraf Adel,Damietta,82296.0,Psychology,35,Single,2019
134,Yasmin Saeed,Kafr El Sheikh,53487.0,Fine Arts,31,Married,2019
135,Omar Nasr,Kafr El Sheikh,92922.73140857393,Engineering,39,Divorced,2019
136,Samir Fouad,Aswan,101372.0,Applied Sciences,23,Widowed,2019
137,Sherif Mansour,Damietta,100744.0,Law,44,Widowed,2019
138,Mariam Mahmoud,Mansoura,92922.73140857393,Law,49,Divorced,2019
139,Salma Mohammed,Shubra El Kheima,68595.0,Commerce,48,Married,2019
140,Ashraf Mahmoud,Tanta,14547.0,Engineering,48,Married,2019
141,Nermine Gamal,Asyut,92922.73140857393,Psychology,27,Divorced,2019
142,Laila El-Din,Sohag,127736.0,Civil Aviation,38,Single,2019
143,Mamdouh Osman,Zagazig,92922.73140857393,Agriculture,35,Divorced,2019
144,Yasser Zaki,Zagazig,97529.0,Architecture,22,Single,2019
145,Mohamed Saber,Luxor,134658.0,Education,47,Widowed,2019
146,Mervat Soltan,Assiut,92922.73140857393,Architecture,54,Divorced,2019
147,Marwa Adel,Suez,112186.0,Economics and Political Science,21,Single,2019
148,Laila Ali,Asyut,92922.73140857393,Medicine,57,Divorced,2019
149,Mariam Abdullah,Suez,92922.73140857393,Psychology,53,Divorced,2019
150,Asmaa Moharram,Luxor,101942.0,Education,31,Married,2019
151,Hoda Youssef,Kafr El Sheikh,81073.0,Psychology,25,Married,2019
152,Hanan Mustafa,Zagazig,122626.0,Engineering,59,Widowed,2019
153,Mariam Sami,Shubra El Kheima,97856.0,Economics and Political Science,51,Widowed,2019
154,Nermine Ezzat,Beni Suef,67670.0,Fine Arts,28,Widowed,2019
155,Wafaa Sami,Qena,61319.0,Fine Arts,27,Single,2019
156,Walid Mahmoud,Minya,92922.73140857393,Computer Science and Information Technology,39,Divorced,2019
157,Wafaa Ibrahim,Giza,131222.0,Arts,53,Single,2019
158,Mamdouh Saad,Suez,147165.0,Law,53,Single,2019
159,Maher Khalid,Luxor,92922.73140857393,Commerce,43,Divorced,2019
160,Ali El-Din,Qena,92922.73140857393,Pharmacy,44,Divorced,2019
161,Laila Emam,Sohag,105629.0,Tourism Studies,28,Married,2019
162,Hend El-Bakry,Ismailia,92922.73140857393,Architecture,55,Divorced,2019
163,Hassan El-Din,Asyut,119357.0,Civil Aviation,55,Married,2019
164,Reem Ezzat,Beni Suef,92922.73140857393,Engineering,57,Divorced,2019
165,Walid Youssef,Tanta,146251.0,Nursing,47,Single,2019
166,Salma Salem,Kafr El Sheikh,137609.0,Tourism Studies,41,Single,2019
167,Hassan Adel,Mansoura,92922.73140857393,Engineering,40,Divorced,2019
168,Emad Nour,Tanta,105269.0,Economics and Political Science,35,Widowed,2019
169,Eman El-Khouly,Assiut,17855.0,Economics and Political Science,49,Widowed,2019
170,Mamdouh Khalid,Suez,92922.73140857393,Education,43,Divorced,2019
171,Rania Saber,Damietta,86620.0,Public Relations and Advertising,45,Married,2019
172,Mariam Mahmoud,Asyut,74145.0,Computer Science and Information Technology,32,Widowed,2019
173,Emad Nour,Alexandria,121129.0,Civil Aviation,37,Married,2019
174,Eman Mahmoudi,Alexandria,144987.0,Applied Sciences,28,Single,2019
175,Tamer Youssef,Asyut,92922.73140857393,Architecture,25,Divorced,2019
176,Marwa Abdelhak,Tanta,66879.0,Engineering,45,Married,2019
177,Fatma Gamal,Giza,92922.73140857393,Fine Arts,37,Divorced,2019
178,Magdy Adel,Cairo,92922.73140857393,Economics and Political Science,55,Divorced,2019
179,Ashraf Gamal,Port Said,111630.0,Engineering,39,Widowed,2019
180,Magdy Amin,Port Said,60664.0,Architecture,46,Married,2019
181,Sara Hassan,Aswan,147450.0,Fine Arts,49,Married,2019
182,Ahmed Abdelaziz,Zagazig,108471.0,Architecture,32,Single,2019
183,Hoda Hassan,Asyut,47626.0,Fine Arts,26,Married,2019
184,Magdy Abdelaziz,Assiut,14854.0,Pharmacy,57,Single,2019
191,Soha Soltan,Luxor,132953.0,Psychology,25,Single,2019
192,Adham Gamal,Asyut,97344.0,Education,24,Married,2019
193,Wafaa Ramadan,Mansoura,92922.73140857393,Fine Arts,55,Divorced,2019
194,Mervat Mansour,Alexandria,72889.0,Architecture,37,Single,2019
195,Sherif Amin,Tanta,113897.0,Computer Science and Information Technology,54,Widowed,2019
196,Nadia Sami,Mansoura,1309950.0,Pharmacy,59,Widowed,2019
197,Nadia Mohammed,Luxor,21906.0,Applied Sciences,49,Single,2019
198,Mohamed El-Din,Asyut,98710.0,Agriculture,45,Married,2019
199,Asmaa Abdelhak,Damietta,149920.0,Fine Arts,34,Married,2019
200,Asmaa Gamal,Beni Suef,92922.73140857393,Pharmacy,28,Divorced,2019
201,Yasmin Zaki,Suez,92922.73140857393,Law,51,Divorced,2019
202,Hany Abdelaziz,Damietta,56374.0,Environmental Agriculture,56,Single,2019
203,Hany El-Khouly,Zagazig,69286.0,Psychology,30,Widowed,2019
204,Hanan Sami,Asyut,92922.73140857393,Commerce,48,Divorced,2019
205,Mona Hassan,Luxor,24982.0,Science,31,Single,2019
206,Soha Saber,Alexandria,92922.73140857393,Psychology,22,Divorced,2019
207,Nour Ramadan,Giza,48730.0,Law,33,Married,2019
208,Soha Adel,Ismailia,52268.0,Psychology,43,Widowed,2019
209,Nermine Abdelhak,Mansoura,49859.0,Agriculture,60,Single,2019
210,Adham Fawzy,Zagazig,57738.0,Law,39,Married,2019
211,Nagla Ezzat,Minya,9689.0,Computer Science and Information Technology,58,Married,2019
212,Rania El-Din,Assiut,92922.73140857393,Fine Arts,37,Divorced,2019
213,Mona Mahmoud,Sohag,89017.0,Psychology,38,Single,2019
214,Mamdouh Fathy,Port Said,92922.73140857393,Agriculture,42,Divorced,2019
215,Nagla Abdelaziz,Mansoura,37958.0,Agriculture,49,Married,2019
216,Maher Khalid,Kafr El Sheikh,87428.0,Applied Sciences,24,Married,2019
217,Mona Abdelhak,Qena,92922.73140857393,Commerce,26,Divorced,2019
218,Mohsen Hassanein,Mansoura,92922.73140857393,Arts,53,Divorced,2019
219,Amir Adel,Asyut,92922.73140857393,Civil Aviation,27,Divorced,2019
220,Nagla Salah,Minya,48594.0,Nursing,36,Single,2019
221,Maher Mansour,Asyut,69867.0,Environmental Agriculture,55,Single,2019
222,Walid Nasr,Alexandria,41261.0,Nursing,59,Married,2019
223,Sherif El-Gabry,Kafr El Sheikh,74970.0,Commerce,50,Married,2019
224,Yasmin Khalid,Alexandria,62715.0,Public Relations and Advertising,35,Single,2019
225,Kamal El-Khouly,Giza,92922.73140857393,Civil Aviation,29,Divorced,2019
226,Eman Nasr,Alexandria,54060.0,Education,45,Widowed,2019
227,Hanan Saber,Suez,23344.0,Fine Arts,28,Widowed,2019
228,Adham Saad,Minya,2173.0,Commerce,40,Married,2019
229,Mohamed Hassan,Suez,92922.73140857393,Fine Arts,23,Divorced,2019
230,Ashraf Saber,Suez,86336.0,Agriculture,36,Married,2019
231,Hanan Saber,Beni Suef,92922.73140857393,Public Relations and Advertising,21,Divorced,2019
232,Marwa Abdullah,Port Said,92922.73140857393,Science,58,Divorced,2019
233,Youssef Saad,Aswan,12932900.0,Architecture,25,Single,2019
234,Nour Nour,Zagazig,12545.0,Nursing,32,Widowed,2019
235,Marwa Fawzy,Ismailia,121783.0,Nursing,24,Single,2019
236,Mona Ali,Aswan,32283.0,Economics and Political Science,22,Married,2019
237,Mohamed El-Sayed,Cairo,20602.0,Law,37,Married,2019
238,Amir Ezzat,Tanta,27352.0,Agriculture,48,Single,2019
239,Marwa El-Khouly,Zagazig,21833.0,Pharmacy,22,Widowed,2019
240,Soha Hassanein,Cairo,99661.0,Education,54,Widowed,2019
241,Yasmin Salah,Damietta,93451.0,Law,56,Married,2019
242,Mervat Mahmoudi,Alexandria,118807.0,Engineering,49,Widowed,2019
243,Adham Osman,Beni Suef,6359.0,Education,30,Married,2019
244,Yasmin Hassanein,Qena,132086.0,Pharmacy,58,Single,2019
245,Mamdouh Adel,Sohag,104277.0,Architecture,42,Married,2019
246,Wafaa Ahmed,Assiut,42718.0,Civil Aviation,54,Married,2019
247,Asmaa Abdelhak,Minya,40749.0,Civil Aviation,24,Single,2019
248,Nour Zaki,Shubra El Kheima,19647.0,Education,35,Single,2019
249,Yasmin Youssef,Aswan,138744.0,Architecture,51,Single,2019
250,Hassan El-Khouly,Giza,9865.0,Tourism Studies,26,Married,2019
251,Yasmin Mohammed,Assiut,56949.0,Applied Sciences,32,Single,2019
252,Hassan Saber,Zagazig,123917.0,Law,57,Single,2019
253,Nour Moharram,Alexandria,92922.73140857393,Economics and Political Science,45,Divorced,2019
254,Youssef Ali,Alexandria,141858.0,Nursing,52,Single,2019
255,Hassan Mostafa,Kafr El Sheikh,74858.0,Fine Arts,23,Widowed,2019
256,Maher Hassanein,Alexandria,109534.0,Computer Science and Information Technology,37,Widowed,2019
257,Amir El-Khouly,Zagazig,42577.0,Arts,38,Married,2019
258,Hassan Fawzy,Giza,147144.0,Fine Arts,53,Widowed,2019
259,Mona Osman,Alexandria,62612.0,Economics and Political Science,54,Widowed,2019
260,Nadia Nasr,Tanta,92922.73140857393,Education,50,Divorced,2019
261,Hanan Osman,Port Said,92922.73140857393,Architecture,44,Divorced,2019
262,Yasser Ali,Tanta,115567.0,Medicine,26,Single,2019
263,Hend Mohammed,Suez,56544.0,Pharmacy,31,Widowed,2019
264,Salma Mohsen,Zagazig,45540.0,Applied Sciences,22,Married,2019
265,Tamer Adel,Minya,92922.73140857393,Public Relations and Advertising,46,Divorced,2019
266,Rania Mahmoudi,Sohag,92922.73140857393,Tourism Studies,21,Divorced,2019
267,Mohsen Amin,Asyut,43105.0,Computer Science and Information Technology,52,Widowed,2019
268,Maher Mostafa,Damietta,131273.0,Applied Sciences,24,Single,2019
269,Fatma Abdelaziz,Luxor,129054.0,Civil Aviation,35,Widowed,2019
270,Laila Saeed,Port Said,109514.0,Medicine,57,Widowed,2019
271,Nadia Youssef,Shubra El Kheima,92922.73140857393,Computer Science and Information Technology,54,Divorced,2019
272,Maher Sami,Luxor,50720.0,Fine Arts,49,Widowed,2019
273,Mona Salah,Alexandria,80446.0,Tourism Studies,59,Widowed,2019
274,Samir Hassan,Ismailia,52959.0,Tourism Studies,27,Widowed,2019
275,Mohsen Moharram,Sohag,137988.0,Tourism Studies,54,Married,2019
276,Ahmed Fouad,Port Said,71455.0,Law,58,Married,2019
277,Hanan El-Din,Beni Suef,5462.0,Pharmacy,51,Widowed,2019
278,Salma Mohsen,Tanta,32886.0,Arts,21,Married,2019
279,Mohamed Amin,Sohag,102209.0,Education,30,Single,2019
280,Ali Khalid,Zagazig,26561.0,Commerce,48,Widowed,2019
281,Hend El-Sayed,Ismailia,88513.0,Agriculture,33,Single,2019
282,Hassan Mohsen,Minya,4466100.0,Agriculture,29,Widowed,2019
283,Nermine Salah,Suez,60354.0,Computer Science and Information Technology,27,Widowed,2019
284,Maher Mahmoud,Mansoura,70449.0,Pharmacy,30,Married,2019
285,Ashraf Khalid,Minya,96261.0,Economics and Political Science,38,Widowed,2019
286,Mariam Salem,Giza,116624.0,Nursing,35,Married,2019
287,Samir Fawzy,Qena,73086.0,Arts,32,Single,2019
288,Youssef Soltan,Port Said,14139.0,Environmental Agriculture,58,Married,2019
289,Asmaa Mustafa,Cairo,92922.73140857393,Arts,28,Divorced,2019
290,Mona Moharram,Qena,95907.0,Architecture,27,Married,2019
291,Adel Youssef,Ismailia,92922.73140857393,Tourism Studies,22,Divorced,2019
292,Reem Ibrahim,Port Said,149395.0,Psychology,49,Married,2019
293,Reem El-Bakry,Beni Suef,92922.73140857393,Nursing,49,Divorced,2019
294,Yasmin Soltan,Assiut,92922.73140857393,Pharmacy,46,Divorced,2019
295,Omar Fawzy,Shubra El Kheima,25211.0,Fine Arts,52,Married,2019
296,Emad Abdullah,Asyut,92922.73140857393,Economics and Political Science,48,Divorced,2019
297,Mamdouh Fouad,Zagazig,81663.0,Tourism Studies,59,Married,2019
298,Reem Salah,Aswan,92922.73140857393,Civil Aviation,57,Divorced,2019
299,Rania Moharram,Cairo,123482.0,Medicine,55,Married,2019
300,Ahmed Ahmed,Sohag,23375.0,Environmental Agriculture,60,Married,2019
301,Emad Fawzy,Damietta,59842.0,Tourism Studies,38,Married,2019
302,Rania Fathy,Mansoura,58856.0,Commerce,56,Single,2019
303,Yasmin Fouad,Assiut,18039.0,Public Relations and Advertising,40,Married,2019
304,Emad Nasr,Aswan,88431.0,Fine Arts,23,Married,2019
305,Samir Hassan,Luxor,66050.0,Architecture,40,Single,2019
306,Eman Soltan,Qena,92922.73140857393,Medicine,36,Divorced,2019
307,Mohamed Salem,Port Said,9792.0,Commerce,53,Single,2019
308,Fatma Mohsen,Ismailia,22609.0,Education,26,Married,2019
309,Ashraf Amin,Alexandria,47469.0,Nursing,40,Widowed,2019
310,Amir Abdelaziz,Beni Suef,123167.0,Arts,56,Single,2019
311,Hanan Mahmoudi,Minya,5678.0,Applied Sciences,30,Married,2019
312,Omar Nasr,Luxor,25849.0,Nursing,39,Widowed,2019
313,Nour Salah,Aswan,121137.0,Agriculture,43,Married,2019
314,Mariam Osman,Suez,68662.0,Education,56,Married,2019
315,Fatma Fawzy,Luxor,92922.73140857393,Computer Science and Information Technology,32,Divorced,2019
316,Nadia Amin,Zagazig,96031.0,Nursing,25,Widowed,2019
317,Hoda Abdelaziz,Beni Suef,30565.0,Commerce,50,Married,2019
318,Marwa Salah,Beni Suef,119871.0,Education,30,Widowed,2019
319,Reem Ali,Asyut,92922.73140857393,Public Relations and Advertising,41,Divorced,2019
320,Mervat Fouad,Minya,92922.73140857393,Computer Science and Information Technology,56,Divorced,2019
321,Adham Mohsen,Zagazig,92922.73140857393,Commerce,24,Divorced,2019
322,Hanan Mansour,Port Said,29657.0,Science,27,Married,2019
323,Amir Mansour,Alexandria,92922.73140857393,Psychology,46,Divorced,2019
324,Mamdouh Mansour,Suez,12807100.0,Commerce,37,Single,2019
325,Hassan Fouad,Alexandria,55044.0,Public Relations and Advertising,50,Widowed,2019
326,Marwa Saber,Cairo,26474.0,Agriculture,25,Widowed,2019
327,Asmaa Ibrahim,Asyut,30948.0,Environmental Agriculture,29,Married,2019
328,Sherif Hassan,Giza,16249.0,Science,28,Married,2019
329,Hanan Khalid,Aswan,56110.0,Commerce,33,Married,2019
330,Laila Ali,Sohag,92922.73140857393,Education,28,Divorced,2019
331,Yasmin Salah,Kafr El Sheikh,123950.0,Economics and Political Science,25,Single,2019
332,Asmaa El-Gabry,Alexandria,82493.0,Science,38,Single,2019
333,Adham Mohammed,Qena,112371.0,Education,37,Married,2019
334,Salma Mustafa,Damietta,92922.73140857393,Engineering,47,Divorced,2019
335,Mohamed Abdelaziz,Asyut,103391.0,Computer Science and Information Technology,42,Widowed,2019
336,Yasmin Mahmoud,Shubra El Kheima,142899.0,Environmental Agriculture,54,Single,2019
337,Samir Mohsen,Ismailia,102176.0,Computer Science and Information Technology,54,Single,2019
338,Khaled Amin,Port Said,138951.0,Psychology,47,Single,2019
339,Omar El-Khouly,Ismailia,137693.0,Medicine,28,Widowed,2019
340,Laila Ali,Tanta,89411.0,Applied Sciences,26,Married,2019
341,Omar Fawzy,Luxor,113025.0,Engineering,55,Widowed,2019
342,Fatma Mohsen,Mansoura,4594.0,Agriculture,46,Married,2019
343,Sherif Fawzy,Giza,109783.0,Law,21,Married,2019
344,Mohamed Amin,Shubra El Kheima,92922.73140857393,Commerce,26,Divorced,2019
345,Samir Fahmy,Tanta,89924.0,Fine Arts,57,Widowed,2019
346,Ali Fawzy,Asyut,112140.0,Economics and Political Science,39,Married,2019
347,Hoda El-Bakry,Ismailia,92922.73140857393,Civil Aviation,43,Divorced,2019
348,Mohsen Salah,Luxor,28487.0,Computer Science and Information Technology,56,Married,2019
349,Mamdouh Ragab,Giza,99279.0,Public Relations and Advertising,56,Married,2019
350,Reem El-Din,Kafr El Sheikh,95067.0,Tourism Studies,45,Widowed,2019
351,Wafaa Amin,Damietta,69209.0,Computer Science and Information Technology,55,Widowed,2019
352,Ali Mansour,Ismailia,102907.0,Nursing,23,Single,2019
353,Khaled Fouad,Shubra El Kheima,18010.0,Education,54,Widowed,2019
354,Mohamed Gamal,Kafr El Sheikh,48068.0,Commerce,41,Single,2019
355,Sara Nasr,Beni Suef,92922.73140857393,Fine Arts,31,Divorced,2019
356,Magdy Ezzat,Beni Suef,100473.0,Economics and Political Science,38,Single,2019
357,Mervat El-Bakry,Alexandria,112474.0,Agriculture,38,Single,2019
358,Reem Mansour,Mansoura,69116.0,Agriculture,44,Widowed,2019
359,Yasser Salah,Port Said,143642.0,Law,45,Married,2019
360,Maher El-Din,Minya,40751.0,Agriculture,46,Married,2019
361,Hoda Soltan,Qena,8049.0,Law,36,Widowed,2019
362,Yasser Mahmoudi,Asyut,12386.0,Law,58,Married,2019
363,Tamer Ali,Giza,101842.0,Civil Aviation,45,Married,2019
364,Omar Youssef,Cairo,95212.0,Science,23,Single,2019
365,Marwa Amin,Luxor,92922.73140857393,Arts,52,Divorced,2019
366,Ali Osman,Sohag,76684.0,Applied Sciences,47,Single,2019
367,Maher Sami,Luxor,92922.73140857393,Commerce,45,Divorced,2019
368,Rania Mahmoudi,Giza,92922.73140857393,Civil Aviation,47,Divorced,2019
369,Hany Abdelhak,Port Said,92922.73140857393,Tourism Studies,22,Divorced,2019
370,Adel Youssef,Shubra El Kheima,36573.0,Computer Science and Information Technology,56,Widowed,2019
371,Walid Abdelaziz,Asyut,27840.0,Science,36,Widowed,2019
372,Yasmin Mostafa,Shubra El Kheima,74639.0,Pharmacy,45,Single,2019
373,Asmaa Abdelhak,Alexandria,8462.0,Applied Sciences,56,Single,2019
374,Mohsen El-Bakry,Assiut,49152.0,Public Relations and Advertising,45,Single,2019
375,Nagla Ibrahim,Assiut,36347.0,Civil Aviation,49,Single,2019
376,Kamal Sami,Asyut,31315.0,Arts,49,Single,2019
377,Laila Saber,Cairo,137567.0,Commerce,50,Married,2019
378,Reem Mustafa,Sohag,113997.0,Tourism Studies,40,Widowed,2019
379,Nadia El-Bakry,Sohag,85938.0,Nursing,21,Single,2019
380,Mohamed Adel,Mansoura,92922.73140857393,Economics and Political Science,28,Divorced,2019
381,Hoda El-Din,Qena,92922.73140857393,Civil Aviation,46,Divorced,2019
382,Amir El-Din,Sohag,87560.0,Law,38,Widowed,2019
383,Emad Saad,Giza,140159.0,Science,59,Single,2019
384,Ashraf Sami,Luxor,92922.73140857393,Education,34,Divorced,2019
385,Mariam Abdullah,Asyut,45915.0,Psychology,36,Married,2019
