name,city,salary,education,age,socialtype,year
Wafaa Sami,Qena,61319,Fine Arts,27,Single,2019
Walid Mahmoud,Minya,,Computer Science and Information Technology,39,Divorced,2019
Wafaa Ibrahim,Giza,131222,Arts,53,Single,2019
Mamdouh Saad,Suez,147165,Law,53,Single,2019
Maher Khalid,Luxor,,Commerce,43,Divorced,2019
Ali El-Din,Qena,,Pharmacy,44,Divorced,2019
Laila Emam,Sohag,105629,Tourism Studies,28,Married,2019
Hend El-Bakry,Ismailia,,Architecture,55,Divorced,2019
Hassan El-Din,Asyut,119357,Civil Aviation,55,Married,2019
Reem Ezzat,Beni Suef,,Engineering,57,Divorced,2019
Walid Youssef,Tanta,146251,Nursing,47,Single,2019
Salma Salem,Kafr El Sheikh,137609,Tourism Studies,41,Single,2019
Hassan Adel,Mansoura,,Engineering,40,Divorced,2019
Emad Nour,Tanta,105269,Economics and Political Science,35,Widowed,2019
Eman El-Khouly,Assiut,17855,Economics and Political Science,49,Widowed,2019
Mamdouh Khalid,Suez,,Education,43,Divorced,2019
Rania Saber,Damietta,86620,Public Relations and Advertising,45,Married,2019
Mariam Mahmoud,Asyut,74145,Computer Science and Information Technology,32,Widowed,2019
Emad Nour,Alexandria,121129,Civil Aviation,37,Married,2019
Eman Mahmoudi,Alexandria,144987,Applied Sciences,28,Single,2019
Tamer Youssef,Asyut,,Architecture,25,Divorced,2019
Marwa Abdelhak,Tanta,66879,Engineering,45,Married,2019
Fatma Gamal,Giza,,Fine Arts,37,Divorced,2019
Magdy Adel,Cairo,,Economics and Political Science,55,Divorced,2019
Ashraf Gamal,Port Said,111630,Engineering,39,Widowed,2019
Magdy Amin,Port Said,60664,Architecture,46,Married,2019
Sara Hassan,Aswan,147450,Fine Arts,49,Married,2019
Ahmed Abdelaziz,Zagazig,108471,Architecture,32,Single,2019
Hoda Hassan,Asyut,47626,Fine Arts,26,Married,2019
Magdy Abdelaziz,Assiut,14854,Pharmacy,57,Single,2019
Salma Fathy,,82772,Tourism Studies,47,Single,2019
Hany Khalid,,104951,Tourism Studies,38,Married,2019
Marwa Osman,,84437,Education,41,Married,2019
Sherif Abdelaziz,,,Science,26,Divorced,2019
Maher Mostafa,,129448,Medicine,42,Married,2019
Ahmed El-Bakry,,24037,Tourism Studies,29,Married,2019
Soha Soltan,Luxor,132953,Psychology,25,Single,2019
Adham Gamal,Asyut,97344,Education,24,Married,2019
Wafaa Ramadan,Mansoura,,Fine Arts,55,Divorced,2019
Mervat Mansour,Alexandria,72889,Architecture,37,Single,2019
Sherif Amin,Tanta,113897,Computer Science and Information Technology,54,Widowed,2019
Nadia Sami,Mansoura,1309950,Pharmacy,59,Widowed,2019
Nadia Mohammed,Luxor,21906,Applied Sciences,49,Single,2019
Mohamed El-Din,Asyut,98710,Agriculture,45,Married,2019
Asmaa Abdelhak,Damietta,149920,Fine Arts,34,Married,2019
Asmaa Gamal,Beni Suef,,Pharmacy,28,Divorced,2019
Yasmin Zaki,Suez,,Law,51,Divorced,2019
Hany Abdelaziz,Damietta,56374,Environmental Agriculture,56,Single,2019
Hany El-Khouly,Zagazig,69286,Psychology,30,Widowed,2019
Hanan Sami,Asyut,,Commerce,48,Divorced,2019
Mona Hassan,Luxor,24982,Science,31,Single,2019
Soha Saber,Alexandria,,Psychology,22,Divorced,2019
Nour Ramadan,Giza,48730,Law,33,Married,2019
Soha Adel,Ismailia,52268,Psychology,43,Widowed,2019
Nermine Abdelhak,Mansoura,49859,Agriculture,60,Single,2019
Adham Fawzy,Zagazig,57738,Law,39,Married,2019
Nagla Ezzat,Minya,9689,Computer Science and Information Technology,58,Married,2019
Rania El-Din,Assiut,,Fine Arts,37,Divorced,2019
Mona Mahmoud,Sohag,89017,Psychology,38,Single,2019
Mamdouh Fathy,Port Said,,Agriculture,42,Divorced,2019
Nagla Abdelaziz,Mansoura,37958,Agriculture,49,Married,2019
Maher Khalid,Kafr El Sheikh,87428,Applied Sciences,24,Married,2019
Mona Abdelhak,Qena,,Commerce,26,Divorced,2019
Mohsen Hassanein,Mansoura,,Arts,53,Divorced,2019
Amir Adel,Asyut,,Civil Aviation,27,Divorced,2019
Nagla Salah,Minya,48594,Nursing,36,Single,2019
Maher Mansour,Asyut,69867,Environmental Agriculture,55,Single,2019
Walid Nasr,Alexandria,41261,Nursing,59,Married,2019
Sherif El-Gabry,Kafr El Sheikh,74970,Commerce,50,Married,2019
Yasmin Khalid,Alexandria,62715,Public Relations and Advertising,35,Single,2019
Kamal El-Khouly,Giza,,Civil Aviation,29,Divorced,2019
Eman Nasr,Alexandria,54060,Education,45,Widowed,2019
Hanan Saber,Suez,23344,Fine Arts,28,Widowed,2019
Adham Saad,Minya,2173,Commerce,40,Married,2019
Mohamed Hassan,Suez,,Fine Arts,23,Divorced,2019
Ashraf Saber,Suez,86336,Agriculture,36,Married,2019
Hanan Saber,Beni Suef,,Public Relations and Advertising,21,Divorced,2019
Marwa Abdullah,Port Said,,Science,58,Divorced,2019
Youssef Saad,Aswan,12932900,Architecture,25,Single,2019
Nour Nour,Zagazig,12545,Nursing,32,Widowed,2019
Marwa Fawzy,Ismailia,121783,Nursing,24,Single,2019
Mona Ali,Aswan,32283,Economics and Political Science,22,Married,2019
Mohamed El-Sayed,Cairo,20602,Law,37,Married,2019
Amir Ezzat,Tanta,27352,Agriculture,48,Single,2019
Marwa El-Khouly,Zagazig,21833,Pharmacy,22,Widowed,2019
Soha Hassanein,Cairo,99661,Education,54,Widowed,2019
Yasmin Salah,Damietta,93451,Law,56,Married,2019
Mervat Mahmoudi,Alexandria,118807,Engineering,49,Widowed,2019
Adham Osman,Beni Suef,6359,Education,30,Married,2019
Yasmin Hassanein,Qena,132086,Pharmacy,58,Single,2019
Mamdouh Adel,Sohag,104277,Architecture,42,Married,2019
Wafaa Ahmed,Assiut,42718,Civil Aviation,54,Married,2019
Asmaa Abdelhak,Minya,40749,Civil Aviation,24,Single,2019
Nour Zaki,Shubra El Kheima,19647,Education,35,Single,2019
Yasmin Youssef,Aswan,138744,Architecture,51,Single,2019
Hassan El-Khouly,Giza,9865,Tourism Studies,26,Married,2019
Yasmin Mohammed,Assiut,56949,Applied Sciences,32,Single,2019
Hassan Saber,Zagazig,123917,Law,57,Single,2019
Nour Moharram,Alexandria,,Economics and Political Science,45,Divorced,2019
Youssef Ali,Alexandria,141858,Nursing,52,Single,2019
Hassan Mostafa,Kafr El Sheikh,74858,Fine Arts,23,Widowed,2019
Maher Hassanein,Alexandria,109534,Computer Science and Information Technology,37,Widowed,2019
Amir El-Khouly,Zagazig,42577,Arts,38,Married,2019
Hassan Fawzy,Giza,147144,Fine Arts,53,Widowed,2019
Mona Osman,Alexandria,62612,Economics and Political Science,54,Widowed,2019
Nadia Nasr,Tanta,,Education,50,Divorced,2019
Hanan Osman,Port Said,,Architecture,44,Divorced,2019
Yasser Ali,Tanta,115567,Medicine,26,Single,2019
Hend Mohammed,Suez,56544,Pharmacy,31,Widowed,2019
Salma Mohsen,Zagazig,45540,Applied Sciences,22,Married,2019
Tamer Adel,Minya,,Public Relations and Advertising,46,Divorced,2019
Rania Mahmoudi,Sohag,,Tourism Studies,21,Divorced,2019
Mohsen Amin,Asyut,43105,Computer Science and Information Technology,52,Widowed,2019
Maher Mostafa,Damietta,131273,Applied Sciences,24,Single,2019
Fatma Abdelaziz,Luxor,129054,Civil Aviation,35,Widowed,2019
Laila Saeed,Port Said,109514,Medicine,57,Widowed,2019
Nadia Youssef,Shubra El Kheima,,Computer Science and Information Technology,54,Divorced,2019
Maher Sami,Luxor,50720,Fine Arts,49,Widowed,2019
Mona Salah,Alexandria,80446,Tourism Studies,59,Widowed,2019
Samir Hassan,Ismailia,52959,Tourism Studies,27,Widowed,2019
Mohsen Moharram,Sohag,137988,Tourism Studies,54,Married,2019
Ahmed Fouad,Port Said,71455,Law,58,Married,2019
Hanan El-Din,Beni Suef,5462,Pharmacy,51,Widowed,2019
Salma Mohsen,Tanta,32886,Arts,21,Married,2019
Mohamed Amin,Sohag,102209,Education,30,Single,2019
Ali Khalid,Zagazig,26561,Commerce,48,Widowed,2019
Hend El-Sayed,Ismailia,88513,Agriculture,33,Single,2019
Hassan Mohsen,Minya,4466100,Agriculture,29,Widowed,2019
Nermine Salah,Suez,60354,Computer Science and Information Technology,27,Widowed,2019
Maher Mahmoud,Mansoura,70449,Pharmacy,30,Married,2019
Ashraf Khalid,Minya,96261,Economics and Political Science,38,Widowed,2019
Mariam Salem,Giza,116624,Nursing,35,Married,2019
Samir Fawzy,Qena,73086,Arts,32,Single,2019
Youssef Soltan,Port Said,14139,Environmental Agriculture,58,Married,2019
Asmaa Mustafa,Cairo,,Arts,28,Divorced,2019
Mona Moharram,Qena,95907,Architecture,27,Married,2019
Adel Youssef,Ismailia,,Tourism Studies,22,Divorced,2019
Reem Ibrahim,Port Said,149395,Psychology,49,Married,2019
Reem El-Bakry,Beni Suef,,Nursing,49,Divorced,2019
Yasmin Soltan,Assiut,,Pharmacy,46,Divorced,2019
Omar Fawzy,Shubra El Kheima,25211,Fine Arts,52,Married,2019
Emad Abdullah,Asyut,,Economics and Political Science,48,Divorced,2019
Mamdouh Fouad,Zagazig,81663,Tourism Studies,59,Married,2019
Reem Salah,Aswan,,Civil Aviation,57,Divorced,2019
Rania Moharram,Cairo,123482,Medicine,55,Married,2019
Ahmed Ahmed,Sohag,23375,Environmental Agriculture,60,Married,2019
Emad Fawzy,Damietta,59842,Tourism Studies,38,Married,2019
Rania Fathy,Mansoura,58856,Commerce,56,Single,2019
Yasmin Fouad,Assiut,18039,Public Relations and Advertising,40,Married,2019
Emad Nasr,Aswan,88431,Fine Arts,23,Married,2019
Samir Hassan,Luxor,66050,Architecture,40,Single,2019
Eman Soltan,Qena,,Medicine,36,Divorced,2019
Mohamed Salem,Port Said,9792,Commerce,53,Single,2019
Fatma Mohsen,Ismailia,22609,Education,26,Married,2019
Ashraf Amin,Alexandria,47469,Nursing,40,Widowed,2019
Amir Abdelaziz,Beni Suef,123167,Arts,56,Single,2019
Hanan Mahmoudi,Minya,5678,Applied Sciences,30,Married,2019
Omar Nasr,Luxor,25849,Nursing,39,Widowed,2019
Nour Salah,Aswan,121137,Agriculture,43,Married,2019
Mariam Osman,Suez,68662,Education,56,Married,2019
Fatma Fawzy,Luxor,,Computer Science and Information Technology,32,Divorced,2019
Nadia Amin,Zagazig,96031,Nursing,25,Widowed,2019
Hoda Abdelaziz,Beni Suef,30565,Commerce,50,Married,2019
Marwa Salah,Beni Suef,119871,Education,30,Widowed,2019
Reem Ali,Asyut,,Public Relations and Advertising,41,Divorced,2019
Mervat Fouad,Minya,,Computer Science and Information Technology,56,Divorced,2019
Adham Mohsen,Zagazig,,Commerce,24,Divorced,2019
Hanan Mansour,Port Said,29657,Science,27,Married,2019
Amir Mansour,Alexandria,,Psychology,46,Divorced,2019
Mamdouh Mansour,Suez,12807100,Commerce,37,Single,2019
Hassan Fouad,Alexandria,55044,Public Relations and Advertising,50,Widowed,2019
Marwa Saber,Cairo,26474,Agriculture,25,Widowed,2019
Asmaa Ibrahim,Asyut,30948,Environmental Agriculture,29,Married,2019
Sherif Hassan,Giza,16249,Science,28,Married,2019
Hanan Khalid,Aswan,56110,Commerce,33,Married,2019
Laila Ali,Sohag,,Education,28,Divorced,2019
Yasmin Salah,Kafr El Sheikh,123950,Economics and Political Science,25,Single,2019
Asmaa El-Gabry,Alexandria,82493,Science,38,Single,2019
Adham Mohammed,Qena,112371,Education,37,Married,2019
Salma Mustafa,Damietta,,Engineering,47,Divorced,2019
Mohamed Abdelaziz,Asyut,103391,Computer Science and Information Technology,42,Widowed,2019
Yasmin Mahmoud,Shubra El Kheima,142899,Environmental Agriculture,54,Single,2019
Samir Mohsen,Ismailia,102176,Computer Science and Information Technology,54,Single,2019
Khaled Amin,Port Said,138951,Psychology,47,Single,2019
Omar El-Khouly,Ismailia,137693,Medicine,28,Widowed,2019
Laila Ali,Tanta,89411,Applied Sciences,26,Married,2019
Omar Fawzy,Luxor,113025,Engineering,55,Widowed,2019
Fatma Mohsen,Mansoura,4594,Agriculture,46,Married,2019
Sherif Fawzy,Giza,109783,Law,21,Married,2019
Mohamed Amin,Shubra El Kheima,,Commerce,26,Divorced,2019
Samir Fahmy,Tanta,89924,Fine Arts,57,Widowed,2019
Ali Fawzy,Asyut,112140,Economics and Political Science,39,Married,2019
Hoda El-Bakry,Ismailia,,Civil Aviation,43,Divorced,2019
Mohsen Salah,Luxor,28487,Computer Science and Information Technology,56,Married,2019
Mamdouh Ragab,Giza,99279,Public Relations and Advertising,56,Married,2019
Reem El-Din,Kafr El Sheikh,95067,Tourism Studies,45,Widowed,2019
Wafaa Amin,Damietta,69209,Computer Science and Information Technology,55,Widowed,2019
Ali Mansour,Ismailia,102907,Nursing,23,Single,2019
Khaled Fouad,Shubra El Kheima,18010,Education,54,Widowed,2019
Mohamed Gamal,Kafr El Sheikh,48068,Commerce,41,Single,2019
Sara Nasr,Beni Suef,,Fine Arts,31,Divorced,2019
Magdy Ezzat,Beni Suef,100473,Economics and Political Science,38,Single,2019
Mervat El-Bakry,Alexandria,112474,Agriculture,38,Single,2019
Reem Mansour,Mansoura,69116,Agriculture,44,Widowed,2019
Yasser Salah,Port Said,143642,Law,45,Married,2019
Maher El-Din,Minya,40751,Agriculture,46,Married,2019
Hoda Soltan,Qena,8049,Law,36,Widowed,2019
Yasser Mahmoudi,Asyut,12386,Law,58,Married,2019
Tamer Ali,Giza,101842,Civil Aviation,45,Married,2019
Omar Youssef,Cairo,95212,Science,23,Single,2019
Marwa Amin,Luxor,,Arts,52,Divorced,2019
Ali Osman,Sohag,76684,Applied Sciences,47,Single,2019
Maher Sami,Luxor,,Commerce,45,Divorced,2019
Rania Mahmoudi,Giza,,Civil Aviation,47,Divorced,2019
Hany Abdelhak,Port Said,,Tourism Studies,22,Divorced,2019
Adel Youssef,Shubra El Kheima,36573,Computer Science and Information Technology,56,Widowed,2019
Walid Abdelaziz,Asyut,27840,Science,36,Widowed,2019
Yasmin Mostafa,Shubra El Kheima,74639,Pharmacy,45,Single,2019
Asmaa Abdelhak,Alexandria,8462,Applied Sciences,56,Single,2019
Mohsen El-Bakry,Assiut,49152,Public Relations and Advertising,45,Single,2019
Nagla Ibrahim,Assiut,36347,Civil Aviation,49,Single,2019
Kamal Sami,Asyut,31315,Arts,49,Single,2019
Laila Saber,Cairo,137567,Commerce,50,Married,2019
Reem Mustafa,Sohag,113997,Tourism Studies,40,Widowed,2019
Nadia El-Bakry,Sohag,85938,Nursing,21,Single,2019
Mohamed Adel,Mansoura,,Economics and Political Science,28,Divorced,2019
Hoda El-Din,Qena,,Civil Aviation,46,Divorced,2019
Amir El-Din,Sohag,87560,Law,38,Widowed,2019
Emad Saad,Giza,140159,Science,59,Single,2019
Ashraf Sami,Luxor,,Education,34,Divorced,2019
Mariam Abdullah,Asyut,45915,Psychology,36,Married,2019
Emad Mustafa,Kafr El Sheikh,117835,Arts,22,Widowed,2019
Mervat Mahmoud,Zagazig,43518,Public Relations and Advertising,30,Widowed,2019
Tamer Fouad,Zagazig,60881,Education,25,Single,2019
Laila El-Sayed,Ismailia,63906,Education,22,Single,2019
Hoda Ramadan,Ismailia,110634,Science,27,Single,2019
Khaled Khalid,Shubra El Kheima,136405,Civil Aviation,55,Married,2019
Nour Abdelaziz,Shubra El Kheima,58086,Science,39,Widowed,2019
Nagla Ramadan,Zagazig,143921,Architecture,40,Widowed,2019
Hoda Ragab,Asyut,52974,Economics and Political Science,42,Single,2019
Tamer Youssef,Damietta,128092,Education,52,Married,2019
Walid Abdelhak,Luxor,67233,Agriculture,40,Widowed,2019
Asmaa Hassanein,Mansoura,20722,Civil Aviation,49,Single,2019
Nour Mansour,Aswan,31412,Computer Science and Information Technology,35,Married,2019
Laila Saber,Damietta,89115,Public Relations and Advertising,39,Single,2019
Ali Mahmoudi,Aswan,113629,Applied Sciences,52,Single,2019
Mohsen Osman,Sohag,101222,Education,24,Married,2019
Kamal El-Bakry,Shubra El Kheima,,Public Relations and Advertising,29,Divorced,2019
Hoda Ahmed,Qena,,Public Relations and Advertising,50,Divorced,2019
Hoda Ragab,Giza,50534,Science,49,Married,2019
Hany Saad,Luxor,52419,Architecture,23,Married,2019
Yasser Mustafa,Shubra El Kheima,8758,Applied Sciences,24,Single,2019
Wafaa Zaki,Ismailia,2861,Architecture,42,Single,2019
Tamer Ramadan,Tanta,13823,Medicine,53,Married,2019
Mohsen Fawzy,Kafr El Sheikh,120688,Computer Science and Information Technology,23,Widowed,2019
Maher Ibrahim,Zagazig,64173,Architecture,33,Single,2019
Reem Hassanein,Port Said,,Public Relations and Advertising,58,Divorced,2019
Eman Fouad,Port Said,144488,Education,49,Single,2019
Hassan Fawzy,Qena,39329,Agriculture,43,Married,2019
Hassan Fouad,Aswan,80797,Architecture,48,Married,2019
Walid Nour,Luxor,7511100,Commerce,41,Widowed,2019
Salma El-Bakry,Damietta,,Civil Aviation,31,Divorced,2019
Yasser El-Din,Damietta,65743,Environmental Agriculture,50,Married,2019
Tamer El-Gabry,Luxor,115837,Environmental Agriculture,22,Single,2019
Laila Ramadan,Aswan,,Computer Science and Information Technology,49,Divorced,2019
Kamal Gamal,Kafr El Sheikh,38741,Applied Sciences,23,Widowed,2019
Walid El-Gabry,Aswan,71328,Arts,45,Married,2019
Walid Ali,Sohag,78957,Agriculture,39,Widowed,2019
Fatma Ahmed,Assiut,128563,Tourism Studies,26,Married,2019
Mohsen Zaki,Suez,149488,Arts,27,Married,2019
Emad El-Din,Cairo,97956,Environmental Agriculture,23,Single,2019
Rania El-Din,Asyut,,Commerce,55,Divorced,2019
Wafaa Youssef,Sohag,,Nursing,36,Divorced,2019
